OrderFeedbackDate_Key,Customer_Key,OrderFeedbackScore,OrderFeedBackText
20190516,1123063,10,"hurtigt og let 
"
20190609,1745257,7,"Generel tilfredshed. Stort udvalg. Ok priser. God hjemmeside. Ville have givet top vurdering, hvis I ikke havde haft en svipser med levering af bøger bestilt op til jul (de blev vist glemt / ekspederet meget sent)."
20190612,613994,10,Nemt at købe / bestille bøger via SAXO Og fint med mulighed for at købe brugt.
20190617,14693756,10,Selv tak
20190107,1716535,9,Jeg synes I er gode!
20190110,665382,10,"Stort udvalg, sikker og hurtig levering"
20190514,988841,8,"Jeres side trænger til en opdatering, er længe om at finde, hvad man søger på. Har svært ved at sige præcis, hvad det er, men siden virker gammeldags. Vil være fint med levering med DAO, som leverer billigt til døren, det er en fornøjelse at finde deres pakker på trappestenen tidlig morgen ??"
20190515,384085,9,Jeg har tidligere prisbilligt og uproblematisk fået bøger via Saxo.
20190726,1280734,10,Dejligt at man kan købe antikvariske bøger på Saxo 
20190729,1028078,10,Fordi man kan købe brugte bøger
20190808,566519,10,Hurtige og omhyggelige med stort udvalg af både nyt og brugt
20190812,718099,10,"Alt fungerer super fint på siden, nemt at finde, hvad jeg søger og nemt at bestille og betale"
20190817,12206729,10,"Nemt ... har altid varen ... kommer til tiden, af og til endda før, super service. !"
20190823,1739112,8,"Ja  alt er godt og sikkert, nemt og effektivt. MEN: det er irriterende, at I på jeres sider hele tider vil sende mig notifikationer."
20190907,1298693,10,Fungerer rigtig godt. Har næsten alle bøger jeg skal bruge
20190911,983142,10,Hurtig levering og super service
20191020,1279894,5,Oldnordisk ux. + server er langsom. 
20191020,509367,1,PostNord er alt for langsomme! Gls og dao og andre leverer langt hurtigere! 
20190519,14676599,10,Det var bare super nemt
20190926,1106497,10,"Det er så let. Gode priser. Fri levering. Der mangler MobilePay, men stadig 10"
20190104,1147637,10,"Saxo har stort udvalg og hurtig levering, samt god kundeservice, når det er nødvendigt."
20190108,12229645,10,Godt udvalg fornuftige priser og hurtig levering.
20190130,12006411,8,"Fint sortiment og fin service, men jeg havde svært ved at søge med kategorier"
20190201,1149409,10,"Godt og ordentlig firma, der leverer varene."
20190225,1258159,10,Altid hurtig og effektiv service
20190104,11927525,10,Jeg har været meget tilfreds med jeres håndtering af mine bestillinger og levering af samme.
20190105,12050830,10,"Fordi der både er alm. Bøger, lydbøger, og har nu også fundet en bog jeg ikke kunne finde i butikkerne mere. Lidt dyr som brugt. Men jeg er bare glad for jeg fandt bogen :)"
20190128,1249589,10,Altid levering til tiden
20190205,14092770,10,Fin oversigt. Meget stort udvalg.
20190220,1290787,10,"Gode tilbud. 
Meget overskuelig hjemmeside. 
Nemt at betale. 
Bundsolid pålidelig levering. "
20190303,1157499,10,Smart at I også har fået brugte bøger.
20190307,1187520,10,"Altid hurtig betjening, stort udvalg og ikke mindst gode tips"
20190311,1602920,8,"Hurtigt og overskueligt at bestille, samtidig godt tilbud!"
20190311,1710193,8,kan næsten finde alle de bøger man mangler og servicen er i top
20190318,626495,9,Stort udvalg og hurtig betjening.
20190324,531995,10,Hurtig og let 
20190328,14620523,9,Dejligt at de også kan købes brugt.
20190405,12033821,10,"I er bare så behagelige, hurtige og reelle og, så der et rigt udvalg hos jer!"
20190607,14689719,10,Jeg er glad for at kunne få en ældre bog brugt??
20190618,1766603,10,Gode bøger til gode priser.
20190711,1193942,10,Fordi jeg er en yderst tilfreds kunde.
